"id";"dht11_umidade";"dht11_temperatura";"lm35_temperatura";"luminosidade";"chave"
1;56.0;25.0;0.0;24.0;0
2;56.0;25.0;0.0;24.0;0
3;56.0;25.0;0.0;24.0;0
4;55.0;25.0;0.0;23.0;0
5;55.0;25.0;0.0;24.0;0
6;55.0;25.0;0.0;24.0;0
7;56.0;25.0;0.0;24.0;0
8;59.0;25.0;0.0;24.0;0
9;62.0;25.0;0.0;25.0;0
10;62.0;25.0;0.0;25.0;0
11;62.0;25.0;0.0;25.0;0
12;62.0;25.0;0.0;26.0;0
13;65.0;25.0;0.0;26.0;0
14;66.0;25.0;0.0;26.0;0
15;64.0;25.0;0.0;26.0;0
16;63.0;25.0;0.0;25.0;0
17;61.0;25.0;0.0;25.0;0
18;60.0;25.0;0.0;25.0;0
19;59.0;25.0;0.0;25.0;0
20;58.0;25.0;0.0;25.0;0
21;58.0;26.0;0.0;25.0;0
22;57.0;26.0;0.0;25.0;0
23;57.0;26.0;0.0;25.0;0
24;57.0;26.0;0.0;25.0;0
25;56.0;26.0;0.0;24.0;0
26;56.0;26.0;0.0;25.0;0
27;56.0;26.0;0.0;24.0;0
28;56.0;26.0;0.0;24.0;0
29;56.0;26.0;0.0;24.0;0
30;56.0;26.0;0.0;25.0;0
31;55.0;26.0;0.0;24.0;0
32;55.0;26.0;0.0;24.0;0
33;55.0;26.0;0.0;24.0;0
34;55.0;26.0;0.0;24.0;0
35;56.0;26.0;0.0;24.0;0
36;56.0;26.0;0.0;24.0;0
37;56.0;25.0;0.0;24.0;0
38;56.0;25.0;0.0;24.0;0
39;56.0;25.0;0.0;24.0;0
40;56.0;25.0;0.0;24.0;0
41;56.0;25.0;0.0;24.0;0
42;56.0;25.0;0.0;24.0;0
43;56.0;25.0;0.0;24.0;0
44;56.0;25.0;0.0;24.0;0
45;56.0;25.0;0.0;24.0;0
46;56.0;25.0;0.0;24.0;0
47;56.0;25.0;0.0;24.0;0
48;56.0;25.0;0.0;24.0;0
49;56.0;25.0;0.0;24.0;0
50;56.0;25.0;0.0;24.0;0
51;56.0;25.0;0.0;24.0;0
52;56.0;25.0;0.0;24.0;0
53;56.0;25.0;0.0;24.0;0
54;56.0;25.0;0.0;24.0;0
55;56.0;25.0;0.0;24.0;0
56;56.0;25.0;0.0;24.0;0
57;56.0;25.0;0.0;24.0;0
58;56.0;25.0;0.0;24.0;0
59;56.0;25.0;0.0;24.0;0
60;56.0;25.0;0.0;24.0;0
61;56.0;25.0;0.0;24.0;0
62;56.0;25.0;0.0;24.0;0
63;56.0;25.0;0.0;24.0;0
64;56.0;25.0;0.0;24.0;0
65;56.0;25.0;0.0;24.0;0
66;56.0;25.0;0.0;24.0;0
67;56.0;25.0;0.0;24.0;0
68;56.0;25.0;0.0;24.0;0
69;56.0;25.0;0.0;24.0;0
70;56.0;25.0;0.0;24.0;0
71;56.0;25.0;0.0;24.0;0
72;56.0;25.0;0.0;24.0;0
73;55.0;25.0;0.0;24.0;0
74;55.0;25.0;0.0;24.0;0
75;55.0;25.0;0.0;24.0;0
76;55.0;25.0;0.0;24.0;0
77;56.0;25.0;0.0;24.0;0
78;56.0;25.0;0.0;24.0;0
79;56.0;25.0;0.0;24.0;0
80;56.0;25.0;0.0;24.0;0
81;56.0;25.0;0.0;24.0;0
82;56.0;25.0;0.0;24.0;0
83;56.0;25.0;0.0;24.0;0
84;56.0;25.0;0.0;24.0;0
85;56.0;25.0;0.0;24.0;0
86;56.0;25.0;0.0;24.0;0
87;56.0;25.0;0.0;24.0;0
88;56.0;25.0;0.0;24.0;0
89;56.0;25.0;0.0;24.0;0
90;56.0;25.0;0.0;24.0;0
91;56.0;25.0;0.0;24.0;0
92;57.0;25.0;0.0;24.0;0
93;57.0;25.0;0.0;24.0;0
94;57.0;25.0;0.0;24.0;0
95;57.0;25.0;0.0;24.0;0
96;57.0;25.0;0.0;24.0;0
97;57.0;25.0;0.0;24.0;0
98;57.0;25.0;0.0;24.0;0
99;56.0;25.0;0.0;24.0;0
100;56.0;25.0;0.0;24.0;0
101;56.0;25.0;0.0;24.0;0
102;56.0;25.0;0.0;24.0;0
103;56.0;25.0;0.0;24.0;0
104;56.0;25.0;0.0;24.0;0
105;56.0;25.0;0.0;24.0;0
106;56.0;25.0;0.0;24.0;0
107;56.0;25.0;0.0;24.0;0
108;56.0;25.0;0.0;24.0;0
109;56.0;25.0;0.0;24.0;0
110;56.0;25.0;0.0;24.0;0
111;56.0;25.0;0.0;24.0;0
112;56.0;25.0;0.0;24.0;0
113;56.0;25.0;0.0;24.0;0
114;56.0;25.0;0.0;24.0;0
115;56.0;25.0;0.0;24.0;0
116;56.0;25.0;0.0;24.0;0
117;56.0;25.0;0.0;24.0;0
118;56.0;25.0;0.0;24.0;0
119;56.0;25.0;0.0;24.0;0
120;56.0;25.0;0.0;24.0;0
121;56.0;25.0;0.0;24.0;0
122;56.0;25.0;0.0;24.0;0
123;56.0;25.0;0.0;24.0;0
124;56.0;25.0;0.0;24.0;0
125;56.0;25.0;0.0;24.0;0
126;56.0;25.0;0.0;24.0;0
127;56.0;25.0;0.0;24.0;0
128;56.0;25.0;0.0;24.0;0
129;56.0;25.0;0.0;24.0;0
130;56.0;25.0;0.0;24.0;0
131;56.0;25.0;0.0;24.0;0
132;56.0;25.0;0.0;24.0;0
133;56.0;25.0;0.0;24.0;0
134;56.0;25.0;0.0;24.0;0
135;56.0;25.0;0.0;24.0;0
136;56.0;25.0;0.0;24.0;0
137;56.0;25.0;0.0;24.0;0
138;56.0;25.0;0.0;24.0;0
139;56.0;25.0;0.0;24.0;0
140;56.0;25.0;0.0;24.0;0
141;56.0;25.0;0.0;24.0;0
142;56.0;25.0;0.0;24.0;0
143;56.0;25.0;0.0;24.0;0
144;56.0;25.0;0.0;24.0;0
145;56.0;25.0;0.0;24.0;0
146;56.0;25.0;0.0;24.0;0
147;56.0;25.0;0.0;24.0;0
148;56.0;25.0;0.0;24.0;0
149;56.0;25.0;0.0;24.0;0
150;56.0;25.0;0.0;24.0;0
151;56.0;25.0;0.0;24.0;0
152;56.0;25.0;0.0;24.0;0
153;56.0;25.0;0.0;24.0;0
154;56.0;25.0;0.0;24.0;0
155;56.0;25.0;0.0;24.0;0
156;56.0;25.0;0.0;24.0;0
157;56.0;25.0;0.0;24.0;0
158;56.0;25.0;0.0;23.0;0
159;56.0;25.0;0.0;24.0;0
160;56.0;25.0;0.0;24.0;0
161;56.0;25.0;0.0;24.0;0
162;56.0;25.0;0.0;24.0;0
163;56.0;25.0;0.0;24.0;0
164;56.0;25.0;0.0;24.0;0
165;57.0;25.0;0.0;24.0;0
166;57.0;25.0;0.0;24.0;0
167;57.0;25.0;0.0;24.0;0
168;57.0;25.0;0.0;24.0;0
169;56.0;25.0;0.0;24.0;0
170;56.0;25.0;0.0;24.0;0
171;56.0;25.0;0.0;24.0;0
